Date,Community,Year,Month,Day,Hour,Minute,Age,Sex,Race,Latitude,Longitude,Location,ZIP_CODE
2009-12-11 20:05:00,South Shore,2009,12,11,20,5,0-19,M,BLK,41.7526005,-87.56248,POINT (-87.56248 41.7526005),60649.0
2009-12-13 12:55:00,Humboldt Park,2009,12,13,12,55,30-39,M,WBH,41.90075834585807,-87.73617465387966,POINT (-87.73617465388 41.900758345858),60651.0
2009-12-22 22:42:00,Austin,2009,12,22,22,42,20-29,M,BLK,41.91160834585807,-87.76033465387965,POINT (-87.76033465388 41.911608345858),60639.0
2009-12-29 11:31:00,North Lawndale,2009,12,29,11,31,20-29,M,BLK,41.86682309585807,-87.72151094130076,POINT (-87.721510941301 41.866823095858),60624.0
2010-01-02 21:44:00,West Englewood,2010,1,2,21,44,20-29,M,WWH,41.79006309585807,-87.66002905869924,POINT (-87.660029058699 41.790063095858),60636.0
2010-01-07 03:40:00,Humboldt Park,2010,1,7,3,40,20-29,M,WWH,41.89479690414193,-87.73645905869923,POINT (-87.736459058699 41.894796904142),60651.0
2010-01-22 02:30:00,Humboldt Park,2010,1,22,2,30,40-49,M,BLK,41.89015834585807,-87.71313465387966,POINT (-87.71313465388 41.890158345858),60624.0
2010-01-23 18:53:00,Humboldt Park,2010,1,23,18,53,20-29,M,BLK,41.89861834585807,-87.72157534612035,POINT (-87.72157534612 41.898618345858),60651.0
2010-01-23 23:23:00,Austin,2010,1,23,23,23,0-19,M,BLK,41.88910966894669,-87.76485854747082,POINT (-87.764858547471 41.889109668947),60644.0
2010-02-01 13:42:00,Humboldt Park,2010,2,1,13,42,0-19,M,BLK,41.90252966894668,-87.72750854747082,POINT (-87.727508547471 41.902529668947),60651.0
2010-02-21 04:15:00,Humboldt Park,2010,2,21,4,15,0-19,M,WWH,41.90494309585807,-87.73527094130077,POINT (-87.735270941301 41.904943095858),60651.0
2010-03-12 14:24:00,Humboldt Park,2010,3,12,14,24,30-39,M,BLK,41.89616966894668,-87.71344854747082,POINT (-87.713448547471 41.896169668947),60651.0
2010-03-18 20:41:00,Austin,2010,3,18,20,41,20-29,M,BLK,41.89459165414193,-87.76068534612034,POINT (-87.76068534612 41.894591654142),60644.0
2010-03-24 19:46:00,Humboldt Park,2010,3,24,19,46,0-19,M,BLK,41.89059966894669,-87.71955854747083,POINT (-87.719558547471 41.890599668947),60624.0
2010-03-25 21:52:00,Austin,2010,3,25,21,52,20-29,M,BLK,41.89002690414193,-87.76534905869923,POINT (-87.765349058699 41.890026904142),60644.0
2010-03-25 21:58:00,North Lawndale,2010,3,25,21,58,20-29,M,BLK,41.85408165414193,-87.70683534612034,POINT (-87.70683534612 41.854081654142),60623.0
2010-03-26 17:49:00,North Lawndale,2010,3,26,17,49,0-19,M,BLK,41.85427165414193,-87.71270534612034,POINT (-87.71270534612 41.854271654142),60623.0
2010-03-26 23:18:00,Austin,2010,3,26,23,18,0-19,M,BLK,41.88614309585807,-87.75933905869923,POINT (-87.759339058699 41.886143095858),60644.0
2010-03-29 16:06:00,Humboldt Park,2010,3,29,16,6,20-29,M,BLK,41.89011966894668,-87.72073854747082,POINT (-87.720738547471 41.890119668947),60624.0
2010-03-31 21:24:00,Austin,2010,3,31,21,24,20-29,M,BLK,41.88760309585807,-87.76512905869923,POINT (-87.765129058699 41.887603095858),60644.0
2010-04-01 00:43:00,Austin,2010,4,1,0,43,0-19,M,BLK,41.89148834585807,-87.76284465387965,POINT (-87.76284465388 41.891488345858),60644.0
